intent,question,answer,filename
app_answers_detail_a_id_2481_kw_timetable,How do I register for class and see mytimetable?,"In MyTimetable, you can plan, preference and register for your preferred class time/day. Once you've done that, you'll be able to view your personal timetable and subscribe to a calendar feed for your classes. Planning your timetable: On the day the timetable is published, classes become visible in MyTimetable. Once you have signed in, look for the ‘Plan’ item in the menu. In the planner you will see units, and under each if there are activities, those activities can be dragged into the planner to create a timetable. You can name and save a plan at the top of the page and use that saved plan later. Once you have signed in, look for the ‘Plan’ item in the menu. In the planner you will see units, and under each if there are activities, those activities can be dragged into the planner to create a timetable. You can name and save a plan at the top of the page and use that saved plan later. Login to MyTimetable and ensure you choose the ‘ timetable ’ option from the menu. You should see a list of the classes you are enrolled in, drag from this list into the timetable window to populate your timetable. You can move them around to make the best possible timetable, where options are open to you. If a clash exists, or a ‘problem’ (often caused by travel between locations with not enough time) then you cannot allocate that timeslot. If a class timeslot is full you will need to either choose another or join the waitlist for the preferred time – that waitlist will allow for swaps if another student leaves the class. Login to MyTimetable and ensure you choose the ‘ timetable ’ option from the menu. You should see a list of the classes you are enrolled in, drag from this list into the timetable window to populate your timetable. You can move them around to make the best possible timetable, where options are open to you. If a clash exists, or a ‘problem’ (often caused by travel between locations with not enough time) then you cannot allocate that timeslot. If a class timeslot is full you will need to either choose another or join the waitlist for the preferred time – that waitlist will allow for swaps if another student leaves the class. Connections You can choose the ‘connections’ item from the menu. Enter their student ID and send a connection request. When a request arrives, it can be accepted or denied. Once connected, there is a link against that student in your list, allowing you to view their calendar. Connections can be deleted by either party at any time. Settings In the settings menu, you can change your timezone so that the calendar times adjust for you. Also in this menu, you can setup your iCAL subscription so that you can view your timetable in Google Calendar, Outlook, on your iPhone etc. Having trouble viewing your timetable? Find out more.",app_answers_detail_a_id_2481_kw_timetable.html
app_answers_detail_a_id_2451_kw_timetable,Why can't I find or register for classes in MyTimetable?,"You are studying the unit off campus. Only the units you study on campus will appear in your personal timetable, with just a few exceptions. You are not enrolled in the unit. Note, it can take up to 24 hours from the time you enrol in the unit for it to show in your timetable. The unit does not have any timetabled activities. More information may be available in Courses and Units, the unit outline, or MyLO. The timetable may not have been released yet. Check the timetable release dates. You may be studying a unit through one of the following Colleges or Schools that has a different method for accessing your timetable: Conservatorium of Music - For the timetabling information, please refer to the Conservatorium Student Resources. Medicine - Tasmanian School of Medicine timetables are available in MyLO a week before semester begins. Maritime Training - For timetabling information, please refer to the AMC Timetable. Bachelor of Pharmacy or Master of Pharmaceutical Science - you are part of a pilot program trialling a new system of class allocation. Find out more.",app_answers_detail_a_id_2451_kw_timetable.html
app_answers_detail_a_id_1610_kw_timetable,When will I be able to register for classes?,"Before each study period MyTimetable is opened up for you to be able to choose your preferred time and day. This unit timetable is predominately for classes held on-campus classes. For online classes you will be advised directly about the time and dates. A note about preferences: Where preferences are required, you'll need to pick at least two preferences starting with 1, 2, 3 etc. Where possible, you will be registered into your highest preference with the option to swap once the preferential period has finished. Please check your timetable regularly, and again immediately before classes start, as it may have changed.",app_answers_detail_a_id_1610_kw_timetable.html
app_answers_detail_a_id_1946_kw_timetable,When are my exams?,"Exams for semesters one and two are held during a two-week exam period, after the 'Study Week' (SWOTVAC) which follows the end of teaching. Generally exams will be held in the morning / afternoon of the weekdays of an exam period but it is possible you can have a Saturday, evening and/or public holiday exams. Exams for spring, summer and trimesters are also at the end of the teaching period, with a short study break in between. You will find out when your exams are approximately 4 weeks before the main exams start (about 1 week for deferred exams) and it will be available via the Exams tab in eStudent. Where you have an online (including 'Take Home') or practical exams you may receive information directly from your Unit Coordinator. Check MyLO for updates. It's a good idea to check your exam timetable in eStudent, along with your Uni email, regularly as changes can be made. Online exams. What do I need to know?",app_answers_detail_a_id_1946_kw_timetable.html
app_answers_detail_a_id_1751_kw_timetable,Can I sit my exams at another University of Tasmania  Campus?,"If you are taking units on campus, you will need to sit your on campus exams at the campus where you are enrolled, unless you qualify for: Cross Campus Enrolment: If you are enrolled in on campus units at different locations in the same study period, you may apply to sit all your exams at one location In order to apply for this, you must be able to demonstrate, with supporting documentation, that sitting exams at the campus where you are enrolled will cause you excessive hardship (e. g. Applying to sit your exams in Launceston instead of Hobart due to living much closer to Launceston). Online exams. What do I need to know?",app_answers_detail_a_id_1751_kw_timetable.html
app_answers_detail_a_id_1087_kw_timetable,What appears on an official Academic Transcript?,"Your full name (if you graduated under a different name, this will appear in a 'Graduation Comment' at the bottom of the transcript) Your student ID number The units you have taken, according to course and year (including your final results; check the list of grade codes ) Your GPA Any credit you have received or units you have taken cross-institutionally Scholarships or prizes received You withdrew before the census date of the study period You are currently enrolled in the unit",app_answers_detail_a_id_1087_kw_timetable.html
app_answers_detail_a_id_1744_kw_timetable,What is a Supplementary Assessment Task and how do I know if I qualified for one?,A Supplementary (or 'Supp') Assessment Task is a second opportunity to pass a unit. This is granted if you have an otherwise good record in the unit and your exam was close to a pass mark. You can't apply for a Supplementary Assessment Task; this is granted by your college. You will know if you have been granted a supplementary if you see the result code 'NS' on your record. These are managed by your Unit Coordinator and can be issued immediately after unit results are released. This is finalised within 15 working days. If you have questions about this contact your Unit Coordinator or Lecturer.,app_answers_detail_a_id_1744_kw_timetable.html
app_answers_detail_a_id_1611_kw_timetable,How do I check my results?,"Log in to eStudent, Click on your course under the 'My Study' tab, and Select 'View unit results'. You may have a sanction preventing you from viewing your results. Check in the 'My Details' tab in eStudent under 'Sanctions'. Compulsory MyLO modules (eg Academic Integrity module ): Must be completed with a score of 100% on the quiz - sanctions will then be lifted within 48 hours. SSAF: Generate your invoice and make payment. Sanction will be lifted within 3-5 business days. Library invoices: Log in to MyLibrary to view and then pay online. Accommodation Fees: Log into your Resident Portal via the Current Residents page.",app_answers_detail_a_id_1611_kw_timetable.html
app_answers_detail_a_id_1264_kw_timetable,What is a grade point average (GPA) and how is it calculated?,"Your Grade Point Average (GPA) is a summary of all your final results for each course you do. If you fail a unit it is still taken into account - even if you later pass the same unit - and credited units, ungraded passes, and units you are waiting on official result for aren't included in your GPA. Where can I find my GPA? You can see your GPA on your Academic Transcript - which you can download in the 'MyStudy' tab in eStudent. The maximum you can get is 7 points. To calculate your total GPA, the grade for each unit is multiplied by the unit credit points (eg 6 x 12. 5 if you have a Distinction in a standard 12. 5 credit point unit). Your GPA for your course is then the sum of grade points divided by the total credit points attempted. 7 - HD (High Distinction) 6 - DN (Distinction) 5 - CR (Credit) 4 - PP (Pass) 3 - FP (Faculty Pass) 0 - NN (Fail) 0 - AN (Absent deemed failed) 0 - WN (Withdrawn/Fail) For more information about individual grade codes, please visit the Student Portal.",app_answers_detail_a_id_1264_kw_timetable.html
app_answers_detail_a_id_1088_kw_timetable,What's an Academic Transcript and how do I order one?,"Official Academic Transcripts are legal documents that record all study you have completed. A complimentary digital copy is provided when you graduate and you can order another one (for a fee). If you only need a copy of your academic record (a free, unofficial, document) you can get this via eStudent ( details below ). Complete the online transcript order form to order a digital transcript, or Contact UConnect to order a hardcopy transcript. If ordered before 4pm on a business day, you will receive the details after 2pm the following business day. Digital transcripts cost $20 and are provided via My eQuals through your University email address or, if this is no longer active, through the alternate address we have on file. If you no longer have access to your University email, you may wish to contact UConnect to confirm the details we have on file. Hardcopy transcripts cost $20 plus postage and are produced within 10 working days. If you have an active sanction, you will not be able to request your academic record until the issue has been resolved and the sanction has been lifted. Go to 'MyStudy' tab Select 'Manage my course' And then 'Transcripts and Invoices' from the options on the left Press 'Request' against the option for 'Academic Record' Your record will be emailed to your University of Tasmania webmail If you need assistance please contact UConnect.",app_answers_detail_a_id_1088_kw_timetable.html
